"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
65,"EOSCogniton/STUF-2020",3848,1083,93,33039870,6329848,8586,1645,22,32,NULL,11,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3562105,0,1,1083,0,4,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-01 07:03:55.319325","2022-03-01 07:03:55.319325"
222,"Haverim-Larefua/haverim-lerefua-server",215,815,38,51825,12354,241,57,3,58,NULL,2,8,0,0,0,0,0,0,0,0,5,35,5,12,0,0,0,0,86,38,1898,0,1,2,29369,0,27,815,0,3,0,0,0,4045,0,5,64,1219,12,243,0,0,0,1,5144,36,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-03 09:19:29.272767","2022-03-03 09:19:29.272767"
357,"google/cadvisor",3327,2826,19,3591367,2840083,1079,854,8,94,NULL,3,38,100,16,6,930,989,1899,0,7,15011,3059,530,1348,0,0,0,4,356,43,742,1,2,24,51956,0,34,2826,2,7,2,13134,0,4814,1968,21,5194,1907,247,90,0,5,1,4,242,43,6,1,0,1,2,93,93,22952110,465,6,0,273239,26603073,NULL,13134,4,98,32,0.2848386863425926,0.14144892939814815,0.14338975694444445,0,3,0,"2022-03-05 15:42:56.336151","2022-03-05 15:42:56.336151"
358,"eugenp/tutorials",27416,3232,1,45582991,41369145,1663,1509,18,89,NULL,10,88,100,101,29,508,463,46931,14,61,2555,11892,64,278,0,0,0,0,189,38,93,3,5,38,328330,0,9,3232,0,36,0,29694,0,4324,47411,33,15389,257,466,7,0,0,1,5,32,39,9,0,0,1,5,0,0,0,0,0,0,0,0,NULL,29693,11,104,0,0,0,0,0,0,0,"2022-03-06 04:46:23.024735","2022-03-06 04:46:23.024735"
359,"predixdesignsystem/px-iconography-design",61,2354,1105,15199,1173,249,19,3,33,NULL,1,4,9,4,3,384,26,3,0,1,1,1,0,0,0,0,0,1,32,25,966,0,1,1,1782,1,4,2354,0,4,0,0,20,783,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,14,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 04:47:04.016663","2022-03-06 04:47:04.016663"
366,"MicrosoftDocs/office-developer-word-pia-ref-dotnet.ja-JP",15,1326,272,433012,44466,28867,2964,132,37,NULL,2,4,4,3,2,28867,2964,2,0,1,2,2,2,0,0,0,0,1,2317,123,29,0,2,2,18458,0,7,1326,0,1,0,2,0,540,2,2,10,5,5,2,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 05:39:04.251278","2022-03-06 05:39:04.251278"
367,"Azure-Samples/active-directory-b2c-advanced-policies",200,2120,329,308117,174635,1541,873,9,73,NULL,3,17,17,9,3,1816,1036,139,0,2,191,83,47,18,0,0,0,2,559,58,2725,0,1,6,98139,5,12,2120,0,8,0,184,0,2053,140,8,130,98,16,12,0,0,0,1,4457,88,1,0,0,1,3,12,12,669,0,73,1,55,13356284,NULL,184,1,3,0,0,0,0,0,0,0,"2022-03-06 05:50:51.892208","2022-03-06 05:50:51.892208"
371,"Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore-v2",19,2080,1293,48943,24568,2576,1293,12,33,NULL,2,4,4,3,1,2039,2038,11,0,1,14,10,0,0,0,0,0,1,85,38,120,0,1,1,530,4,2,2080,0,0,0,23,0,591,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,23,1,2,0,0,0,0,0,0,0,"2022-03-06 05:53:49.152667","2022-03-06 05:53:49.152667"
373,"MicrosoftDocs/mslearn-xamarin-forms-customize-listview",10,1052,1024,34234,78,3423,8,31,31,NULL,3,6,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,41,51,0,1,1,462,0,1,1052,0,1,0,7,0,2323,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,7,1,1,0,0,0,0,0,0,0,"2022-03-06 06:26:44.047478","2022-03-06 06:26:44.047478"
378,"Azure/terraform-provider-acsengine",106,1326,1297,1313010,252327,12387,2380,18,43,NULL,4,9,3,33,2,12937,2554,8,0,2,8,9,4,0,0,0,0,0,101,28,334,0,1,3,20455,0,9,1326,0,4,0,14,0,4879,9,1,1,1,1,1,0,0,0,1,210,32,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,14,1,1,0,0,0,0,0,0,0,"2022-03-06 06:52:09.534298","2022-03-06 06:52:09.534298"
379,"MicrosoftDocs/winnerrortest516",3,1420,1216,559,35,186,12,4,97,NULL,2,2,1,3,2,186,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1420,0,1,0,1,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-06 06:52:19.904993","2022-03-06 06:52:19.904993"
380,"MicrosoftDocs/DocsLegal-pr.es-MX",28,1270,90,1314,339,47,12,2,27,NULL,1,2,8,2,2,54,12,3,0,1,13,11,0,0,0,0,0,1,1849,15,0,0,1,2,85,0,4,1270,0,1,0,2,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 06:52:43.471757","2022-03-06 06:52:43.471757"
386,"MicrosoftDocs/OfficeDocs-DeployOffice-pr.hr-hr",183,1026,8,45322,8506,248,46,2,26,NULL,1,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17854,0,4,1026,0,1,0,2,0,2426,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-06 07:23:15.637989","2022-03-06 07:23:15.637989"
388,"MicrosoftDocs/azure-docs.tr-tr",12320,2910,318,21326820,15206808,1731,1234,42,32,NULL,8,139,32,333,20,1595,1264,11,0,1,1102,526,2,953,1,0,0,2,207,20,33,0,3,50,1976301,0,7,1943,0,1,0,8,0,2513,12,2,16,16,8,8,0,1,0,1,428,44,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,8,1,1,0,0,0,0,0,0,0,"2022-03-06 10:40:40.850993","2022-03-06 10:40:40.850993"
391,"surya-sutapalli/practice_surya",416,159,130,9798,1552,24,4,1,30,NULL,104,185,51,7,3,24,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11922,0,1,236,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 10:50:00.301878","2022-03-06 10:50:00.301878"
392,"a8cteam51/tmsconnect",182,2090,328,29379,15643,161,86,7,46,NULL,3,12,0,0,0,0,0,1,0,1,2,6,0,0,0,0,0,0,46,39,90,0,1,1,306,1,44,891,0,2,0,0,0,2433,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-06 10:52:08.686371","2022-03-06 10:52:08.686371"
395,"google/iree",9110,900,1,2128559,1394320,234,153,10,257,NULL,11,52,90,89,19,212,158,249,0,3,9638,8461,517,6032,0,0,0,1,625,48,530,9,10,45,43659,4,12,906,21,17,2,1071,1232,7086,252,62,23644,13048,381,210,0,1,3,2,413,53,9,1,0,1,4,347,347,352337,35,35,23,43,20310684,NULL,1071,1,20,180,0.6058143647119342,0.5013115354938271,0.104502829218107,0,28,1,"2022-03-06 12:37:51.127626","2022-03-06 12:37:51.127626"
