"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
1,"nthohuynh/K19-Java3",89,917,882,2341,44,26,0,5,35,NULL,18,83,27,2,1,15,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5761,0,2,917,0,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-02-28 10:55:26.475305","2022-02-28 10:55:26.475305"
2,"Azure-Samples/hdinsight-java-storm-wordcount",31,2224,1517,2154,680,69,22,3,28,NULL,3,5,2,14,5,51,17,10,0,1,4,3,1,0,0,0,0,1,349,38,3656,0,1,1,39,0,4,2224,0,1,0,9,0,8023,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,81,12,0,0,0,NULL,9,1,1,0,0,0,0,0,0,0,"2022-02-28 10:56:00.08322","2022-02-28 10:56:00.08322"
3,"pete-arnold/data-science",88,905,27,5692,481,65,5,1,35,NULL,5,21,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,25,30,0,0,1,1,2251,0,10,905,0,1,0,0,0,391,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-02-28 10:56:57.668333","2022-02-28 10:56:57.668333"
4,"Azure-Samples/cognitive-services-personalizer-samples",880,1035,321,870127,196902,989,224,5,51,NULL,9,114,24,23,3,981,394,59,0,2,39,66,1,8,0,0,0,0,135,41,1150,0,1,5,74628,0,8,1035,0,4,0,41,0,2543,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,547,0,47,1,21,65108289,NULL,40,1,2,0,0,0,0,0,0,0,"2022-02-28 11:06:38.609609","2022-02-28 11:06:38.609609"
5,"Azure-Samples/Azure-Serverless-Twitter-Subscription",12,1266,888,952,385,79,32,4,18,NULL,4,10,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,1,1266,0,0,0,5,0,30958,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,312,0,44,1,312,544163,NULL,5,1,1,0,0,0,0,0,0,0,"2022-02-28 11:06:57.610605","2022-02-28 11:06:57.610605"
6,"Azure-Samples/iot-central-docs-samples",52,1000,122,3354,214,65,4,1,27,NULL,2,8,6,7,3,56,5,9,0,2,3,3,0,0,0,0,0,1,30,17,398,0,1,2,182,0,1,1000,0,3,0,4,0,1018,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,398,0,43,1,39,49216,NULL,4,1,1,0,0,0,0,0,0,0,"2022-02-28 11:07:42.964556","2022-02-28 11:07:42.964556"
7,"AnyMarket/anymarket-sdk-java",1264,2349,3,61514,18811,49,15,9,132,NULL,2,15,0,0,0,0,0,5,0,1,2,90,2,0,0,0,0,0,27,52,13,0,1,2,1688,0,138,2222,0,1,0,6,0,297,7,2,1602,202,801,101,0,0,0,9,24,47,20,0,0,1,1,6,6,0,0,6,0,0,0,NULL,6,1,1,0,0,0,0,0,0,0,"2022-02-28 11:20:22.156465","2022-02-28 11:20:22.156465"
8,"Azure-Samples/iot-edge-watchdog",51,782,563,3565,807,70,16,5,46,NULL,2,9,8,4,2,180,123,9,0,1,11,20,4,3,0,0,0,0,78,52,1552,0,1,3,78,0,8,782,0,1,0,8,0,11654,9,4,9,9,2,2,0,0,0,1,6562,60,1,0,0,1,3,3,3,222,0,23,1,74,38166,NULL,8,1,1,0,0,0,0,0,0,0,"2022-02-28 11:21:11.213698","2022-02-28 11:21:11.213698"
9,"Azure/dedicated-hosts-manager",15,895,606,6824,1173,455,78,11,292,NULL,2,5,4,3,2,769,393,3,0,1,1,10,0,0,0,0,0,0,194,32,81,0,1,2,364,3,2,895,0,1,0,4,0,8879,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,1,1,0,0,0,0,0,0,0,"2022-02-28 11:21:34.205035","2022-02-28 11:21:34.205035"
10,"comp1111/bayern",87,1491,1483,9863,188,113,2,6,29,NULL,15,44,25,2,1,40,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10188,0,1,1491,0,2,0,0,0,561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-02-28 11:22:34.028077","2022-02-28 11:22:34.028077"
11,"Azure/custmod",22,1967,1938,3000,51,136,2,3,40,NULL,4,8,3,3,1,216,0,9,0,1,0,5,3,0,0,0,0,0,0,46,189,0,1,1,32,0,1,1971,0,2,0,7,0,243,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,7,1,1,0,0,0,0,0,0,0,"2022-03-01 02:26:35.685864","2022-03-01 02:26:35.685864"
12,"Azure-Samples/managed-disks-dotnet-backup-with-incremental-snapshots",22,889,630,1086,148,49,7,1,33,NULL,7,15,3,6,1,53,6,6,0,1,3,2,2,0,0,0,0,1,139,38,882,0,1,1,62,0,1,889,0,1,0,3,0,5202,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,"2022-03-01 02:26:58.162387","2022-03-01 02:26:58.162387"
13,"lis-epfl/MAVRIC_Library",2914,3316,1853,6473900,7322988,2222,2513,13,88,NULL,6,63,16,91,16,1040,558,22,0,1,721,366,9,207,0,0,0,1,625,35,421,0,1,9,504541,2,87,2736,0,6,1,9,50,747,22,2,5419,49,2709,24,0,0,14,46,1339,13,23,2,0,1,1,4,4,0,406,6,0,0,0,NULL,9,1,1,0,0,0,0,0,0,0,"2022-03-01 02:57:08.992675","2022-03-01 02:57:08.992675"
